route,airline,average_fare,median_fare,minimum_fare,maximum_fare,observations,average_duration_minutes,average_stops
AMD-BLR,Akasa Air,17861.0,17861.0,17861.0,17861.0,1,140.0,0.0
AMD-BLR,IndiGo,17945.428571428572,16177.5,15903.0,36383.0,14,298.92857142857144,0.6428571428571429
AMD-BLR,Air India,27324.0,27324.0,27324.0,27324.0,1,595.0,1.0
AMD-BOM,Akasa Air,8926.0,8926.0,8926.0,8926.0,1,85.0,0.0
AMD-BOM,IndiGo,9781.3,9560.5,8382.0,11793.0,10,87.5,0.0
AMD-BOM,Air India,9956.833333333334,9599.0,8588.0,11854.0,6,102.5,0.0
AMD-CCU,IndiGo,17161.8,17365.0,14341.0,18825.0,5,224.0,0.2
AMD-CCU,Air India,30072.5,30072.5,22023.0,38122.0,2,470.0,1.0
AMD-COK,IndiGo,24130.272727272728,23078.0,20925.0,35350.0,11,397.72727272727275,0.9090909090909091
AMD-DEL,IndiGo,12320.57142857143,11745.0,11154.0,14685.0,7,105.71428571428571,0.0
AMD-DEL,Air India,15505.636363636364,12144.0,11524.0,37611.0,11,110.0,0.0
AMD-GOI,IndiGo,16748.444444444445,15337.0,13298.0,21376.0,9,301.6666666666667,0.7777777777777778
AMD-GOI,"Air India, Air India Express",28007.666666666668,28858.0,26087.0,29078.0,3,701.6666666666666,1.0
AMD-GOI,Air India,34566.666666666664,30769.0,30482.0,42449.0,3,900.0,1.0
AMD-HYD,Star Air,13777.0,13777.0,13777.0,13777.0,1,170.0,1.0
AMD-HYD,IndiGo,17264.6,14570.0,14019.0,32746.0,10,216.0,0.5
AMD-HYD,Air India,23132.75,23932.0,15475.0,29192.0,4,456.25,1.0
AMD-MAA,IndiGo,19402.545454545456,16818.0,16049.0,35854.0,11,318.1818181818182,0.7272727272727273
AMD-PNQ,IndiGo,12955.285714285714,11539.0,9676.0,22739.0,7,199.28571428571428,0.2857142857142857
AMD-PNQ,Akasa Air,13340.0,11426.0,10827.0,17767.0,3,88.33333333333333,0.0
AMD-PNQ,Air India Express,22123.0,22123.0,22123.0,22123.0,1,330.0,1.0
AMD-PNQ,Air India,24965.0,24965.0,24965.0,24965.0,1,315.0,1.0
BLR-AMD,Akasa Air,17108.0,17108.0,17108.0,17108.0,1,130.0,0.0
BLR-AMD,IndiGo,19874.7,17276.0,15211.0,34491.0,10,235.0,0.5
BLR-AMD,Air India,19910.0,17960.0,16515.0,25255.0,3,446.6666666666667,1.0
BLR-AMD,Air India Express,25763.0,25763.0,25763.0,25763.0,1,125.0,0.0
BLR-BOM,Akasa Air,14275.4,13926.0,13667.0,15377.0,5,108.0,0.0
BLR-BOM,IndiGo,14992.76923076923,14501.0,13034.0,18879.0,13,151.92307692307693,0.3076923076923077
BLR-BOM,Air India,17264.571428571428,14136.5,13396.0,32314.0,14,123.57142857142857,0.0
BLR-CCU,IndiGo,19290.157894736843,17975.0,16480.0,27919.0,19,255.26315789473685,0.5263157894736842
