outbound_date,route,average_fare,base_fare,route_index,route_weight,weighted_contribution
2026-09-12,AMD-BLR,27577.333333333332,27577.333333333332,100.0,0.0,0.0
2026-09-12,AMD-BOM,11795.0,11795.0,100.0,0.0,0.0
2026-09-12,AMD-CCU,25774.333333333332,25774.333333333332,100.0,0.0,0.0
2026-09-12,AMD-COK,27479.666666666668,27479.666666666668,100.0,0.0,0.0
2026-09-12,AMD-DEL,15542.333333333334,15542.333333333334,100.0,0.0,0.0
2026-09-12,AMD-GOI,28503.5,28503.5,100.0,0.0,0.0
2026-09-12,AMD-HYD,25327.2,25327.2,100.0,0.0,0.0
2026-09-12,AMD-MAA,26292.0,26292.0,100.0,0.0,0.0
2026-09-12,AMD-PNQ,17992.333333333332,17992.333333333332,100.0,0.0,0.0
2026-09-12,BLR-AMD,24947.8,24947.8,100.0,0.0,0.0
2026-09-12,BLR-BOM,20649.375,20649.375,100.0,0.2,20.0
2026-09-12,BLR-CCU,25515.333333333332,25515.333333333332,100.0,0.0,0.0
2026-09-12,BLR-COK,15617.0,15617.0,100.0,0.0,0.0
2026-09-12,BLR-DEL,35117.77777777778,35117.77777777778,100.0,0.25,25.0
2026-09-12,BLR-HYD,15838.666666666666,15838.666666666666,100.0,0.0,0.0
2026-09-12,BLR-MAA,8099.0,8099.0,100.0,0.0,0.0
2026-09-12,BLR-PNQ,16668.4,16668.4,100.0,0.0,0.0
2026-09-12,BOM-AMD,10831.0,10831.0,100.0,0.0,0.0
2026-09-12,BOM-BLR,19484.5,19484.5,100.0,0.0,0.0
2026-09-12,BOM-CCU,24559.0,24559.0,100.0,0.0,0.0
2026-09-12,BOM-COK,37172.8,37172.8,100.0,0.0,0.0
2026-09-12,BOM-DEL,22242.2,22242.2,100.0,0.0,0.0
2026-09-12,BOM-GOI,29371.25,29371.25,100.0,0.0,0.0
2026-09-12,BOM-HYD,19998.0,19998.0,100.0,0.1,10.0
2026-09-12,BOM-MAA,16893.0,16893.0,100.0,0.0,0.0
2026-09-12,CCU-AMD,21508.0,21508.0,100.0,0.0,0.0
2026-09-12,CCU-BLR,21252.75,21252.75,100.0,0.0,0.0
2026-09-12,CCU-BOM,20747.666666666668,20747.666666666668,100.0,0.0,0.0
2026-09-12,CCU-COK,31666.0,31666.0,100.0,0.0,0.0
2026-09-12,CCU-DEL,17244.5,17244.5,100.0,0.0,0.0
2026-09-12,CCU-GOI,36891.5,36891.5,100.0,0.0,0.0
2026-09-12,CCU-HYD,22513.0,22513.0,100.0,0.0,0.0
2026-09-12,CCU-MAA,21947.666666666668,21947.666666666668,100.0,0.0,0.0
2026-09-12,CCU-PNQ,22455.4,22455.4,100.0,0.0,0.0
2026-09-12,COK-AMD,26182.0,26182.0,100.0,0.0,0.0
2026-09-12,COK-BLR,12939.0,12939.0,100.0,0.0,0.0
2026-09-12,COK-BOM,22520.833333333332,22520.833333333332,100.0,0.0,0.0
2026-09-12,COK-CCU,32011.0,32011.0,100.0,0.0,0.0
2026-09-12,COK-DEL,30229.8,30229.8,100.0,0.0,0.0
2026-09-12,COK-GOI,20951.0,20951.0,100.0,0.0,0.0
2026-09-12,COK-MAA,72786.0,72786.0,100.0,0.0,0.0
2026-09-12,COK-PNQ,19502.25,19502.25,100.0,0.0,0.0
2026-09-12,DEL-AMD,13020.333333333334,13020.333333333334,100.0,0.0,0.0
2026-09-12,DEL-BLR,17358.25,17358.25,100.0,0.0,0.0
2026-09-12,DEL-BOM,14203.181818181818,14203.181818181818,100.0,0.3,30.0
2026-09-12,DEL-CCU,17705.333333333332,17705.333333333332,100.0,0.0,0.0
2026-09-12,DEL-COK,30234.428571428572,30234.428571428572,100.0,0.0,0.0
2026-09-12,DEL-GOI,32757.11111111111,32757.11111111111,100.0,0.0,0.0
2026-09-12,DEL-HYD,16838.0,16838.0,100.0,0.15,15.0
2026-09-12,DEL-MAA,31105.0,31105.0,100.0,0.0,0.0
2026-09-12,DEL-PNQ,22306.6,22306.6,100.0,0.0,0.0
2026-09-12,GOI-AMD,29990.0,29990.0,100.0,0.0,0.0
