route,booking_window,average_fare,median_fare,minimum_fare,maximum_fare,observations
AMD-BLR,0-3 days,18526.3125,16486.5,15903.0,36383.0,16
AMD-BOM,0-3 days,9792.941176470587,9560.0,8382.0,11854.0,17
AMD-CCU,0-3 days,20850.571428571428,18100.0,14341.0,38122.0,7
AMD-COK,0-3 days,24130.272727272728,23078.0,20925.0,35350.0,11
AMD-DEL,0-3 days,14267.0,12128.0,11154.0,37611.0,18
AMD-GOI,0-3 days,22563.933333333334,20180.0,13298.0,42449.0,15
AMD-HYD,0-3 days,18596.933333333334,14964.0,13777.0,32746.0,15
AMD-MAA,0-3 days,19402.545454545456,16818.0,16049.0,35854.0,11
AMD-PNQ,0-3 days,14816.25,11712.0,9676.0,24965.0,12
BLR-AMD,0-3 days,20089.866666666665,17276.0,15211.0,34491.0,15
BLR-BOM,0-3 days,15874.59375,14351.0,13034.0,32314.0,32
BLR-CCU,0-3 days,19822.833333333332,18996.0,16480.0,27919.0,24
BLR-COK,0-3 days,38150.36363636364,12543.0,11569.0,281760.0,11
BLR-DEL,0-3 days,23502.451612903227,18392.0,17335.0,67171.0,31
BLR-GOI,0-3 days,13918.0,13971.5,11784.0,17081.0,6
BLR-HYD,0-3 days,12825.058823529413,12387.0,9651.0,19290.0,17
BLR-MAA,0-3 days,8027.428571428572,7932.0,7932.0,8266.0,7
BLR-PNQ,0-3 days,11853.277777777777,10424.0,8977.0,17950.0,18
BOM-AMD,0-3 days,9233.2,8837.5,8172.0,12001.0,20
BOM-BLR,0-3 days,14019.636363636364,13078.0,10477.0,34025.0,33
BOM-CCU,0-3 days,18431.2,17415.0,16965.0,24559.0,15
BOM-COK,0-3 days,24775.4,18970.0,17226.0,49211.0,15
BOM-DEL,0-3 days,15942.371428571429,13187.0,12655.0,30768.0,35
BOM-GOI,0-3 days,19694.75,16444.5,12403.0,36407.0,16
BOM-HYD,0-3 days,14554.923076923076,12298.0,11924.0,32489.0,13
BOM-MAA,0-3 days,15756.285714285714,14376.5,13981.0,22838.0,14
BOM-PNQ,0-3 days,24724.555555555555,24453.0,23774.0,25590.0,9
CCU-AMD,0-3 days,20085.076923076922,20062.0,13711.0,24797.0,13
CCU-BLR,0-3 days,19366.18181818182,18707.5,15976.0,32370.0,22
CCU-BOM,0-3 days,18580.235294117647,18155.0,17168.0,24312.0,17
CCU-COK,0-3 days,30519.0,30437.0,26994.0,34843.0,13
CCU-DEL,0-3 days,16970.2,17125.5,15376.0,18151.0,20
CCU-GOI,0-3 days,32328.5,30505.0,28110.0,46058.0,12
CCU-HYD,0-3 days,22158.69230769231,20361.0,18131.0,34457.0,13
CCU-MAA,0-3 days,16802.35714285714,15693.0,13906.0,30673.0,14
CCU-PNQ,0-3 days,18959.5,18097.0,14723.0,26609.0,14
COK-AMD,0-3 days,26182.0,26182.0,26182.0,26182.0,1
COK-BLR,0-3 days,15349.181818181818,14650.0,11270.0,19735.0,11
COK-BOM,0-3 days,19608.61111111111,17672.0,14632.0,30530.0,18
COK-CCU,0-3 days,32011.0,32011.0,32011.0,32011.0,1
COK-DEL,0-3 days,27426.88888888889,25530.0,23532.0,41662.0,18
COK-GOI,0-3 days,20951.0,20951.0,20951.0,20951.0,1
COK-MAA,0-3 days,72786.0,72786.0,72786.0,72786.0,1
COK-PNQ,0-3 days,19502.25,18405.0,14929.0,26270.0,4
DEL-AMD,0-3 days,14632.25,14044.5,11325.0,22281.0,16
DEL-BLR,0-3 days,17931.59375,17745.0,16878.0,19554.0,32
DEL-BOM,0-3 days,13832.411764705883,12926.0,12655.0,25949.0,34
DEL-CCU,0-3 days,18374.136363636364,17709.0,15717.0,26216.0,22
DEL-COK,0-3 days,27641.266666666666,26058.0,23804.0,44599.0,15
DEL-GOI,0-3 days,26690.222222222223,23366.0,18569.0,46819.0,18
DEL-HYD,0-3 days,16848.333333333332,16842.5,15910.0,17537.0,18
DEL-MAA,0-3 days,22846.8,19130.0,17902.0,52632.0,15
DEL-PNQ,0-3 days,16708.0,15031.0,13861.0,31397.0,22
GOI-AMD,0-3 days,29990.0,29990.0,29990.0,29990.0,1
GOI-BLR,0-3 days,28177.333333333332,32084.0,11359.0,41089.0,3
GOI-BOM,0-3 days,16161.666666666666,14125.0,12625.0,21735.0,3
GOI-CCU,0-3 days,31869.5,32310.0,30036.0,32822.0,4
GOI-COK,0-3 days,37964.75,39130.0,32988.0,40611.0,4
GOI-DEL,0-3 days,21103.0,21103.0,21103.0,21103.0,1
GOI-HYD,0-3 days,32392.5,32392.5,32345.0,32440.0,2
GOI-MAA,0-3 days,31727.0,31727.0,31727.0,31727.0,1
HYD-AMD,0-3 days,19321.545454545456,15837.0,12693.0,30186.0,11
HYD-BLR,0-3 days,11532.9375,10773.5,8612.0,16853.0,16
HYD-BOM,0-3 days,15599.3125,12536.5,11983.0,40712.0,16
HYD-CCU,0-3 days,20027.125,19521.0,17631.0,22671.0,8
HYD-COK,0-3 days,30973.933333333334,29314.0,23295.0,43669.0,15
HYD-DEL,0-3 days,17585.24,17590.0,16262.0,19889.0,25
HYD-GOI,0-3 days,13926.333333333334,14321.0,11779.0,16324.0,6
HYD-MAA,0-3 days,13242.3,12813.0,11944.0,15332.0,10
HYD-PNQ,0-3 days,11665.0,10565.0,9095.0,22535.0,9
MAA-AMD,0-3 days,23634.38888888889,19098.0,17076.0,39077.0,18
MAA-BLR,0-3 days,15199.076923076924,8266.0,7646.0,38318.0,13
MAA-BOM,0-3 days,15036.0,14399.0,13924.0,21767.0,14
MAA-CCU,0-3 days,20849.833333333332,18370.5,15394.0,50777.0,12
MAA-COK,0-3 days,40356.6,15031.0,13366.0,242616.0,10
MAA-DEL,0-3 days,23989.058823529413,20792.0,19028.0,41659.0,17
MAA-GOI,0-3 days,18397.18181818182,18614.0,12077.0,27688.0,11
MAA-HYD,0-3 days,16767.75,13313.0,11662.0,38269.0,12
MAA-PNQ,0-3 days,12641.583333333334,11499.5,9830.0,19302.0,12
PNQ-AMD,0-3 days,8694.111111111111,8830.0,7066.0,10071.0,9
PNQ-BLR,0-3 days,10349.235294117647,9308.0,8977.0,23018.0,17
PNQ-CCU,0-3 days,16288.333333333334,14873.5,13854.0,29169.0,12
PNQ-COK,0-3 days,25499.8,16428.0,13509.0,52269.0,15
PNQ-DEL,0-3 days,17427.782608695652,14599.0,13861.0,31732.0,23
PNQ-GOI,0-3 days,29013.81818181818,24778.0,19323.0,47726.0,11
PNQ-HYD,0-3 days,10099.25,9961.0,8940.0,11457.0,8
PNQ-MAA,0-3 days,11841.666666666666,10801.0,9830.0,16581.0,9
