route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,volatility_pct,fare_range,rank_by_average_fare
COK-MAA,72786.0,72786.0,72786.0,72786.0,0.0,1,1,0.0,0.0,1
MAA-COK,40356.6,15031.0,13366.0,242616.0,71309.78658594718,10,4,176.69919315786558,229250.0,2
BLR-COK,38150.36363636364,12543.0,11569.0,281760.0,80835.55992169872,11,3,211.8867350576155,270191.0,3
GOI-COK,37964.75,39130.0,32988.0,40611.0,3392.501179071277,4,2,8.935923926988263,7623.0,4
GOI-HYD,32392.5,32392.5,32345.0,32440.0,67.17514421272202,2,1,0.2073786963424312,95.0,5
CCU-GOI,32328.5,30505.0,28110.0,46058.0,5710.328497157982,12,3,17.663450197683105,17948.0,6
COK-CCU,32011.0,32011.0,32011.0,32011.0,0.0,1,1,0.0,0.0,7
GOI-CCU,31869.5,32310.0,30036.0,32822.0,1259.5251750825255,4,2,3.9521334664256593,2786.0,8
GOI-MAA,31727.0,31727.0,31727.0,31727.0,0.0,1,1,0.0,0.0,9
HYD-COK,30973.933333333334,29314.0,23295.0,43669.0,6600.581591979677,15,4,21.310117513800883,20374.0,10
CCU-COK,30519.0,30437.0,26994.0,34843.0,2196.214394513128,13,1,7.196220041656437,7849.0,11
GOI-AMD,29990.0,29990.0,29990.0,29990.0,0.0,1,1,0.0,0.0,12
PNQ-GOI,29013.81818181818,24778.0,19323.0,47726.0,10765.82300447283,11,4,37.10584707261779,28403.0,13
GOI-BLR,28177.333333333332,32084.0,11359.0,41089.0,15245.155241365479,3,2,54.10432229699575,29730.0,14
DEL-COK,27641.266666666666,26058.0,23804.0,44599.0,5185.833580419789,15,5,18.76120093538811,20795.0,15
COK-DEL,27426.88888888889,25530.0,23532.0,41662.0,4823.316565684908,18,4,17.586087088568465,18130.0,16
DEL-GOI,26690.222222222223,23366.0,18569.0,46819.0,8424.744272994847,18,4,31.564908687723186,28250.0,17
COK-AMD,26182.0,26182.0,26182.0,26182.0,0.0,1,1,0.0,0.0,18
PNQ-COK,25499.8,16428.0,13509.0,52269.0,16115.122401910925,15,4,63.1970541020358,38760.0,19
BOM-COK,24775.4,18970.0,17226.0,49211.0,11907.650138821324,15,5,48.06239309484942,31985.0,20
BOM-PNQ,24724.555555555555,24453.0,23774.0,25590.0,602.8434936015963,9,2,2.4382379381785837,1816.0,21
AMD-COK,24130.272727272728,23078.0,20925.0,35350.0,3905.35140777137,11,1,16.184447858964436,14425.0,22
MAA-DEL,23989.058823529413,20792.0,19028.0,41659.0,7099.814579186102,17,2,29.59605306491776,22631.0,23
MAA-AMD,23634.38888888889,19098.0,17076.0,39077.0,7910.879256098852,18,2,33.47190102223439,22001.0,24
BLR-DEL,23502.451612903227,18392.0,17335.0,67171.0,11424.49435157842,31,5,48.60979841484362,49836.0,25
DEL-MAA,22846.8,19130.0,17902.0,52632.0,10209.221029469949,15,2,44.685562220835955,34730.0,26
AMD-GOI,22563.933333333334,20180.0,13298.0,42449.0,8436.527768042513,15,3,37.38943757460658,29151.0,27
CCU-HYD,22158.69230769231,20361.0,18131.0,34457.0,4487.328369691248,13,3,20.250871790541034,16326.0,28
GOI-DEL,21103.0,21103.0,21103.0,21103.0,0.0,1,1,0.0,0.0,29
COK-GOI,20951.0,20951.0,20951.0,20951.0,0.0,1,1,0.0,0.0,30
AMD-CCU,20850.571428571428,18100.0,14341.0,38122.0,7951.487551754972,7,2,38.13558577516533,23781.0,31
MAA-CCU,20849.833333333332,18370.5,15394.0,50777.0,9726.467029645857,12,2,46.65009486716532,35383.0,32
BLR-AMD,20089.866666666665,17276.0,15211.0,34491.0,5369.768149645976,15,4,26.728739611575207,19280.0,33
CCU-AMD,20085.076923076922,20062.0,13711.0,24797.0,2768.7060594418003,13,2,13.784891489564929,11086.0,34
HYD-CCU,20027.125,19521.0,17631.0,22671.0,1788.2581658857723,8,1,8.929180628201863,5040.0,35
BLR-CCU,19822.833333333332,18996.0,16480.0,27919.0,3262.6629383488826,24,3,16.45911501895398,11439.0,36
BOM-GOI,19694.75,16444.5,12403.0,36407.0,7193.571783196438,16,4,36.52532671496942,24004.0,37
COK-BOM,19608.61111111111,17672.0,14632.0,30530.0,4640.075203991075,18,5,23.663456721632887,15898.0,38
COK-PNQ,19502.25,18405.0,14929.0,26270.0,5329.14692203796,4,2,27.325805596984758,11341.0,39
AMD-MAA,19402.545454545456,16818.0,16049.0,35854.0,5840.441016971858,11,1,30.101416490193618,19805.0,40
CCU-BLR,19366.18181818182,18707.5,15976.0,32370.0,3592.3166770518847,22,3,18.54943174022698,16394.0,41
HYD-AMD,19321.545454545456,15837.0,12693.0,30186.0,7185.93312470463,11,1,37.19129580814208,17493.0,42
CCU-PNQ,18959.5,18097.0,14723.0,26609.0,3529.1878505706363,14,3,18.61435085614408,11886.0,43
AMD-HYD,18596.933333333334,14964.0,13777.0,32746.0,6167.066789078288,15,3,33.161740586682505,18969.0,44
CCU-BOM,18580.235294117647,18155.0,17168.0,24312.0,2093.7264783577803,17,3,11.26856815974035,7144.0,45
AMD-BLR,18526.3125,16486.5,15903.0,36383.0,5533.151298838063,16,3,29.866446972855837,20480.0,46
BOM-CCU,18431.2,17415.0,16965.0,24559.0,2127.584921924387,15,3,11.543387961306843,7594.0,47
MAA-GOI,18397.18181818182,18614.0,12077.0,27688.0,4623.207108018888,11,2,25.129974545611116,15611.0,48
DEL-CCU,18374.136363636364,17709.0,15717.0,26216.0,2694.470250884288,22,4,14.664472917577903,10499.0,49
DEL-BLR,17931.59375,17745.0,16878.0,19554.0,807.4731138787794,32,4,4.503074992309478,2676.0,50
HYD-DEL,17585.24,17590.0,16262.0,19889.0,940.9348312538255,25,3,5.35070793036561,3627.0,51
PNQ-DEL,17427.782608695652,14599.0,13861.0,31732.0,5155.516612474637,23,5,29.582171916135074,17871.0,52
CCU-DEL,16970.2,17125.5,15376.0,18151.0,817.330867744772,20,4,4.816271274026069,2775.0,53
DEL-HYD,16848.333333333332,16842.5,15910.0,17537.0,473.6432015272054,18,3,2.8112169444685255,1627.0,54
CCU-MAA,16802.35714285714,15693.0,13906.0,30673.0,4243.8864192577585,14,3,25.257684878230783,16767.0,55
MAA-HYD,16767.75,13313.0,11662.0,38269.0,8792.768124740613,12,3,52.43856882849883,26607.0,56
DEL-PNQ,16708.0,15031.0,13861.0,31397.0,4033.388472665207,22,5,24.140462489018475,17536.0,57
PNQ-CCU,16288.333333333334,14873.5,13854.0,29169.0,4333.844720407742,12,4,26.607048319294435,15315.0,58
GOI-BOM,16161.666666666666,14125.0,12625.0,21735.0,4884.570946698731,3,2,30.223188285235008,9110.0,59
BOM-DEL,15942.371428571429,13187.0,12655.0,30768.0,5043.844589233111,35,5,31.637981913993595,18113.0,60
BLR-BOM,15874.59375,14351.0,13034.0,32314.0,4618.202379360813,32,3,29.091783084910837,19280.0,61
BOM-MAA,15756.285714285714,14376.5,13981.0,22838.0,3075.0837994478093,14,4,19.516552664818274,8857.0,62
HYD-BOM,15599.3125,12536.5,11983.0,40712.0,7565.588372966553,16,2,48.49949876295223,28729.0,63
COK-BLR,15349.181818181818,14650.0,11270.0,19735.0,2627.0738405374846,11,2,17.115399841218856,8465.0,64
MAA-BLR,15199.076923076924,8266.0,7646.0,38318.0,12283.676963498745,13,4,80.81857224400454,30672.0,65
MAA-BOM,15036.0,14399.0,13924.0,21767.0,2086.762638081367,14,3,13.878442658162857,7843.0,66
AMD-PNQ,14816.25,11712.0,9676.0,24965.0,5535.244695666948,12,4,37.359282515258236,15289.0,67
DEL-AMD,14632.25,14044.5,11325.0,22281.0,2843.837653594171,16,2,19.4354091379943,10956.0,68
