route,is_weekend,average_fare,median_fare,observations,day_type
AMD-BLR,True,18526.3125,16486.5,16,Weekend
AMD-BOM,True,9792.941176470587,9560.0,17,Weekend
AMD-CCU,True,20850.571428571428,18100.0,7,Weekend
AMD-COK,True,24130.272727272728,23078.0,11,Weekend
AMD-DEL,True,14267.0,12128.0,18,Weekend
AMD-GOI,True,22563.933333333334,20180.0,15,Weekend
AMD-HYD,True,18596.933333333334,14964.0,15,Weekend
AMD-MAA,True,19402.545454545456,16818.0,11,Weekend
AMD-PNQ,True,14816.25,11712.0,12,Weekend
BLR-AMD,True,20089.866666666665,17276.0,15,Weekend
BLR-BOM,True,15874.59375,14351.0,32,Weekend
BLR-CCU,True,19822.833333333332,18996.0,24,Weekend
BLR-COK,True,38150.36363636364,12543.0,11,Weekend
BLR-DEL,True,23502.451612903227,18392.0,31,Weekend
BLR-GOI,True,13918.0,13971.5,6,Weekend
BLR-HYD,True,12825.058823529413,12387.0,17,Weekend
BLR-MAA,True,8027.428571428572,7932.0,7,Weekend
BLR-PNQ,True,11853.277777777777,10424.0,18,Weekend
BOM-AMD,True,9233.2,8837.5,20,Weekend
BOM-BLR,True,14019.636363636364,13078.0,33,Weekend
BOM-CCU,True,18431.2,17415.0,15,Weekend
BOM-COK,True,24775.4,18970.0,15,Weekend
BOM-DEL,True,15942.371428571429,13187.0,35,Weekend
BOM-GOI,True,19694.75,16444.5,16,Weekend
BOM-HYD,True,14554.923076923076,12298.0,13,Weekend
BOM-MAA,True,15756.285714285714,14376.5,14,Weekend
BOM-PNQ,True,24724.555555555555,24453.0,9,Weekend
CCU-AMD,True,20085.076923076922,20062.0,13,Weekend
CCU-BLR,True,19366.18181818182,18707.5,22,Weekend
CCU-BOM,True,18580.235294117647,18155.0,17,Weekend
CCU-COK,True,30519.0,30437.0,13,Weekend
CCU-DEL,True,16970.2,17125.5,20,Weekend
CCU-GOI,True,32328.5,30505.0,12,Weekend
CCU-HYD,True,22158.69230769231,20361.0,13,Weekend
CCU-MAA,True,16802.35714285714,15693.0,14,Weekend
CCU-PNQ,True,18959.5,18097.0,14,Weekend
COK-AMD,True,26182.0,26182.0,1,Weekend
COK-BLR,True,15349.181818181818,14650.0,11,Weekend
COK-BOM,True,19608.61111111111,17672.0,18,Weekend
COK-CCU,True,32011.0,32011.0,1,Weekend
COK-DEL,True,27426.88888888889,25530.0,18,Weekend
COK-GOI,True,20951.0,20951.0,1,Weekend
COK-MAA,True,72786.0,72786.0,1,Weekend
COK-PNQ,True,19502.25,18405.0,4,Weekend
DEL-AMD,True,14632.25,14044.5,16,Weekend
DEL-BLR,True,17931.59375,17745.0,32,Weekend
DEL-BOM,True,13832.411764705883,12926.0,34,Weekend
DEL-CCU,True,18374.136363636364,17709.0,22,Weekend
DEL-COK,True,27641.266666666666,26058.0,15,Weekend
DEL-GOI,True,26690.222222222223,23366.0,18,Weekend
DEL-HYD,True,16848.333333333332,16842.5,18,Weekend
DEL-MAA,True,22846.8,19130.0,15,Weekend
DEL-PNQ,True,16708.0,15031.0,22,Weekend
GOI-AMD,True,29990.0,29990.0,1,Weekend
GOI-BLR,True,28177.333333333332,32084.0,3,Weekend
GOI-BOM,True,16161.666666666666,14125.0,3,Weekend
GOI-CCU,True,31869.5,32310.0,4,Weekend
GOI-COK,True,37964.75,39130.0,4,Weekend
GOI-DEL,True,21103.0,21103.0,1,Weekend
GOI-HYD,True,32392.5,32392.5,2,Weekend
GOI-MAA,True,31727.0,31727.0,1,Weekend
HYD-AMD,True,19321.545454545456,15837.0,11,Weekend
HYD-BLR,True,11532.9375,10773.5,16,Weekend
HYD-BOM,True,15599.3125,12536.5,16,Weekend
HYD-CCU,True,20027.125,19521.0,8,Weekend
HYD-COK,True,30973.933333333334,29314.0,15,Weekend
HYD-DEL,True,17585.24,17590.0,25,Weekend
HYD-GOI,True,13926.333333333334,14321.0,6,Weekend
HYD-MAA,True,13242.3,12813.0,10,Weekend
HYD-PNQ,True,11665.0,10565.0,9,Weekend
MAA-AMD,True,23634.38888888889,19098.0,18,Weekend
MAA-BLR,True,15199.076923076924,8266.0,13,Weekend
MAA-BOM,True,15036.0,14399.0,14,Weekend
MAA-CCU,True,20849.833333333332,18370.5,12,Weekend
MAA-COK,True,40356.6,15031.0,10,Weekend
MAA-DEL,True,23989.058823529413,20792.0,17,Weekend
MAA-GOI,True,18397.18181818182,18614.0,11,Weekend
MAA-HYD,True,16767.75,13313.0,12,Weekend
MAA-PNQ,True,12641.583333333334,11499.5,12,Weekend
PNQ-AMD,True,8694.111111111111,8830.0,9,Weekend
PNQ-BLR,True,10349.235294117647,9308.0,17,Weekend
PNQ-CCU,True,16288.333333333334,14873.5,12,Weekend
PNQ-COK,True,25499.8,16428.0,15,Weekend
PNQ-DEL,True,17427.782608695652,14599.0,23,Weekend
PNQ-GOI,True,29013.81818181818,24778.0,11,Weekend
PNQ-HYD,True,10099.25,9961.0,8,Weekend
PNQ-MAA,True,11841.666666666666,10801.0,9,Weekend
