id,search_id,origin,destination,outbound_date,return_date,price,currency,total_duration_minutes,flight_type,airline,stops,carbon_emissions_kg,booking_token,collected_at
1,1,BLR,DEL,2026-09-12,2026-09-19,19171.00,INR,165,Round trip,Air India,0,143,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1pCU1RJNE1UZ2FDd2pqbFFFUUFCb0RTVTVTT0J4dzM1d0IiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIkFJIiwiMjgxOCJdXV0=,2026-09-12 18:32:57.320796
2,1,BLR,DEL,2026-09-12,2026-09-19,24450.00,INR,295,Round trip,IndiGo,1,157,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ3cyUlRFeE5udzJSVEkwTVRnYUN3aUN2d0VRQUJvRFNVNVNPQnh3ODhjQiIsW1siQkxSIiwiMjAyNi0wOS0xMiIsIlBOUSIsbnVsbCwiNkUiLCIxMTYiXSxbIlBOUSIsIjIwMjYtMDktMTMiLCJERUwiLG51bGwsIjZFIiwiMjQxOCJdXV0=,2026-09-12 18:32:57.330132
3,1,BLR,DEL,2026-09-12,2026-09-19,25800.00,INR,700,Round trip,"Air India Express, Air India",1,191,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RJM09EZDhRVWt5T0RnMkdnc0l5TWtCRUFBYUEwbE9VamdjY1BqU0FRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJNQUEiLG51bGwsIklYIiwiMjc4NyJdLFsiTUFBIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIyODg2Il1dXQ==,2026-09-12 18:32:57.332717
4,1,BLR,DEL,2026-09-12,2026-09-19,27081.00,INR,290,Round trip,IndiGo,1,155,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ3cyUlRVeU9IdzJSVFV6TWpFYUN3akowd0VRQUJvRFNVNVNPQnh3dGQwQiIsW1siQkxSIiwiMjAyNi0wOS0xMiIsIlBOUSIsbnVsbCwiNkUiLCI1MjgiXSxbIlBOUSIsIjIwMjYtMDktMTMiLCJERUwiLG51bGwsIjZFIiwiNTMyMSJdXV0=,2026-09-12 18:32:57.336253
5,1,BLR,DEL,2026-09-12,2026-09-19,27803.00,INR,740,Round trip,Air India Express,1,190,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RJMk9EQjhTVmd4TmpjeUdnc0ltOWtCRUFBYUEwbE9VamdjY0tqakFRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJQTlEiLG51bGwsIklYIiwiMjY4MCJdLFsiUE5RIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiSVgiLCIxNjcyIl1dXQ==,2026-09-12 18:32:57.339133
6,1,BLR,DEL,2026-09-12,2026-09-19,30673.00,INR,405,Round trip,"Air India Express, Air India",1,171,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RFM01qTjhRVWt4T0RBMkdnc0kwZThCRUFBYUEwbE9VamdjY09UNkFRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJIWUQiLG51bGwsIklYIiwiMTcyMyJdLFsiSFlEIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIxODA2Il1dXQ==,2026-09-12 18:32:57.341982
7,1,BLR,DEL,2026-09-12,2026-09-19,38098.00,INR,170,Round trip,IndiGo,0,186,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1UyUlRneE54b0xDTktwQWhBQUdnTkpUbEk0SEhDK3R3ST0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIjZFIiwiODE3Il1dXQ==,2026-09-12 18:32:57.344443
8,1,BLR,DEL,2026-09-12,2026-09-19,38098.00,INR,170,Round trip,IndiGo,0,186,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1kyUlRJek1UTWFDd2pTcVFJUUFCb0RTVTVTT0J4d3ZyY0MiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIjZFIiwiMjMxMyJdXV0=,2026-09-12 18:32:57.346407
9,1,BLR,DEL,2026-09-12,2026-09-19,55813.00,INR,175,Round trip,Air India,0,215,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1pCU1RJME9EZ2FDd2lGdEFNUUFCb0RTVTVTT0J4d3FjZ0QiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIkFJIiwiMjQ4OCJdXV0=,2026-09-12 18:32:57.35868
10,1,BLR,DEL,2026-09-12,2026-09-19,67171.00,INR,350,Round trip,Air India,1,189,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFCU1RJMk5ESjhRVWt5TkRJeUdnc0k0NHdFRUFBYUEwbE9VamdjY0plbEJBPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJCT00iLG51bGwsIkFJIiwiMjY0MiJdLFsiQk9NIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIyNDIyIl1dXQ==,2026-09-12 18:32:57.360807
